epoch,train_loss,test_loss,comm_cost,mse,mae,r2,mse-AT,mae-AT,r2-AT,mse-slew,mae-slew,r2-slew,mse-netdelay,mae-netdelay,r2-netdelay,mse-celldelay,mae-celldelay,r2-celldelay
1,41.79954740546998,31.723384823117936,9762344,7.930846069806388,1.0035153622073787,-2.1515221441430703,28.293983544622147,2.1651719638279507,-3.427126324602536,0.24054785711424692,0.2642062710864203,0.43257121103150503,3.083498307636806,1.3314896992274694,-0.4365824546132769,0.10535456985235214,0.25319351468767437,-5.174951008387974
2,40.42846078532082,30.768960544041224,9762344,7.692240219164108,0.9537590715501989,-1.4828003405460288,27.87100531373705,2.131205916404724,-3.331130719610623,0.23217888602188655,0.23773702553340367,0.45539153473717825,2.583140049661909,1.2359683002744402,-0.2131950216633933,0.08263662723558289,0.21012504398822784,-2.842267155647278
3,39.25167807510921,29.923813615526473,9762344,7.480953468209399,0.9172361716628075,-1.1965085182871138,27.42595296246665,2.1048714433397566,-3.2306657135486603,0.22583710934434617,0.2263490855693817,0.4728884484086718,2.20114232812609,1.1534325991358076,-0.04469449179513114,0.07088147290050983,0.18429155860628402,-1.9835623162133353
4,38.18870279334841,29.146872724805558,9762344,7.28671819477209,0.8929894146110331,-1.1249774125005518,26.961184109960282,2.0873675772121976,-3.1289168979440416,0.2201341688632965,0.22629513272217341,0.48847638283457073,1.8986792734691076,1.0795341219220842,0.0875601236309324,0.06687522679567337,0.178760826587677,-1.9470292585236686
5,37.190768358253294,28.430254186902726,9762344,7.107563248037228,0.8709403505282743,-1.0648571800972735,26.492184604917252,2.0684729644230435,-3.0288013773305074,0.21509063030992234,0.22734104522636958,0.501847892999649,1.65859477860587,1.0128049339566911,0.19172213120119913,0.06438297831586429,0.1751424585069929,-1.9241973672594344
6,36.257123660473596,27.747009754180908,9762344,6.9367521852920095,0.8486554034586463,-0.9642284299646106,26.000731996127538,2.046754377228873,-2.927332196916853,0.2103665258203234,0.22402414892401015,0.5144166605813163,1.4739323343549455,0.953964250428336,0.27142123665128437,0.061977884865232875,0.1698788372533662,-1.71541942017419
7,35.32758773508526,27.06270956993103,9762344,6.76567733893171,0.8276216260024479,-0.8682170818958963,25.45781753744398,2.023369550704956,-2.8142794924122945,0.20538758167198726,0.21777436562946864,0.5282299603734698,1.3390207290649414,0.9033692649432591,0.32970050403050016,0.060483507545931,0.165973322732108,-1.5165192995752608
8,34.35738172417595,26.34190627506801,9762344,6.585476503574423,0.8082648627460002,-0.7924902396542686,24.839549899101257,1.998643730367933,-2.691146275826863,0.20020919186728342,0.21043130542550767,0.5431044612612043,1.2432328462600708,0.8612281424658639,0.3715221754142216,0.058914077069078176,0.16275627272469656,-1.3934413194656372
9,33.30056586152031,25.564978327069962,9762344,6.391244731909994,0.7908867680068528,-0.7334906698337623,24.136125496455602,1.9718550443649292,-2.5594614212002074,0.19562782560076034,0.20417119988373347,0.5571654651846204,1.1763420615877425,0.8277351175035749,0.4012064593178885,0.05688354399587427,0.1597857102751732,-1.332873182637351
10,32.13594145150412,24.689679316111974,9762344,6.172419846989215,0.7760298725749765,-0.6848051830061844,23.31249587876456,1.9410138300486974,-2.4159346371889114,0.19136645538466318,0.20128782732146128,0.5709322435515267,1.131052349294935,0.8043832353183201,0.42172893030302866,0.05476470451269831,0.1574345976114273,-1.3159472686903817
11,30.796105878693716,23.668767520359584,9762344,5.9171917562239935,0.7614307557897908,-0.6368129806859153,22.32926482813699,1.902339049748012,-2.252043583563396,0.18492784457547323,0.19760966726711818,0.5888036148888725,1.1015730925968714,0.7900473560605731,0.4353673585823604,0.053001259586640766,0.15572695008346013,-1.3193793126514979
12,29.224117446513404,22.44751685006278,9762344,5.611879285025809,0.7443165816366673,-0.5752779681767737,21.138660873685563,1.8508344548089164,-2.0578883162566592,0.17461466789245605,0.1919711125748498,0.6132852775709969,1.082806306225913,0.7807401503835406,0.4439618928091867,0.05143529229930469,0.15372060877936228,-1.3004707268306188
13,27.34626784494945,20.963938883372716,9762344,5.240984686916428,0.722905087683882,-0.4941743399415697,19.682423165866307,1.783079275063106,-1.820756448166711,0.1614218865122114,0.18409125932625361,0.6414895738874163,1.0703201464244299,0.7735893045152936,0.4492180858339582,0.04977354886276381,0.15086051183087484,-1.2466485713209425
14,25.075967340242293,19.171497992106847,9762344,4.7928745440606555,0.6970796763364758,-0.3968889835689749,17.912042106900895,1.6968229115009308,-1.529094859957695,0.1534045711159706,0.17811956150191172,0.6601333703313556,1.058185407093593,0.7666940518787929,0.45329480511801584,0.047866091132164,0.14668218046426773,-1.171889249767576
15,22.322345710936045,17.0827602658953,9762344,4.270689924779747,0.6669497662889105,-0.30484110223395483,15.837750468935285,1.586600341967174,-1.19574550645692,0.155397324689797,0.1794386144195284,0.6584208352225167,1.0431458013398307,0.759145472730909,0.45786104031971525,0.04646610415407589,0.1426146360380309,-1.1399007780211312
16,19.03247558361008,14.76446511064257,9762344,3.6911163188384046,0.6270593795925379,-0.23114856971161707,13.540012453283582,1.4364971475941795,-0.8487502719674792,0.16495835887534277,0.1787064948252269,0.6372783780097961,1.0132801192147392,0.751977835382734,0.4674441856997354,0.04621434397995472,0.14105604056801116,-1.1805665705885207
17,15.228952744177409,12.132798177855355,9762344,3.0331996206327205,0.5779846137655632,-0.13792083625282558,10.94793713092804,1.2463963968413216,-0.48553891267095295,0.17669513928038733,0.17772713090692246,0.6058430969715118,0.9622035026550293,0.7468070983886719,0.48486964617456707,0.0459627096674272,0.14100782892533711,-1.1568571754864283
18,11.102793303273973,9.074129887989589,9762344,2.268532414920628,0.5196700748056173,-0.030946954020432044,7.910427110535758,1.009437416281019,-0.11607537525040763,0.18251421196120127,0.18294386778559005,0.582067187343325,0.9361745629991803,0.7451176387923104,0.49665227106639315,0.04501377418637276,0.1411813763635499,-1.0864318992410387
